RuleID,RuleName,Award,Category,ClauseReference,PlainEnglishBasis,TriggerCondition,RequiredInputs,LogicSummary,Output,ExceptionHandling,AuditNoteGuidance,CommonMistakes,ManualReviewTrigger,ConfidenceStatus,ValidationRequired
CL-PH-01,Clerks Public Holiday,MA000002,Public Holidays,MA000002 PH clause + NES,Employees entitled to day off with pay on public holiday; PH work attracts higher rate,SHF002 is a public holiday date in PH_Table,SHF002+EMP006+PH_Table,If PH and worked: apply PH rate; if PH and not worked: pay ordinary day's pay,PH entitlement applied,If substitute day applies check PH_Table for substitute,Record PH date name and state; record whether employee worked,Applying weekday rate on a public holiday; not paying for PH not worked,Substitute day scenarios; employee only works part of a PH,High for concept — verify rates,No — standard NES entitlement
RTD-COV-01,RTD Industry Coverage,MA000038,Coverage,MA000038 cl.4 — verify,RTD Award covers employers in road transport and distribution industry,ORG003=Transport-Logistics,ORG003+ORG004,Industry test satisfied if transport/distribution confirmed,Proceed to RTD classification,If incidental transport by non-transport employer flag for review,Record industry basis in audit,Applying RTD to employers where transport is incidental not primary activity,Logistics/warehousing-only without delivery operations,Moderate,Yes — verify coverage clause in MA000038
RTD-CLA-01,RTD Vehicle-Based Classification,MA000038,Classification,MA000038 Schedule A — verify,Classification based primarily on GVM of vehicle operated plus duties,CLA006 populated + duties confirmed,CLA006+CLA001+LU001+CLA007,Match GVM to classification grade; check for leading hand or forklift modifiers,RTD classification confirmed,If GVM vs classification mismatch flag ESC-14,Record GVM source (fleet register); record classification evidence,Using job title alone; not checking GVM against fleet register,Employee drives multiple vehicle types regularly,High for GVM-based grades — verify GVM thresholds,Yes — verify Schedule A GVM thresholds and grade titles from MA000038
RTD-OT-01,RTD Daily Overtime,MA000038,Overtime,MA000038 overtime clause — verify,Hours beyond ordinary daily limit attract overtime rates,SHF008 > daily_ordinary_max,SHF008+daily_ordinary_limit,Tier1 OT = first 2 hours × 1.5× (verify); Tier2 = remainder × 2.0× (verify),Daily overtime pay,No double-count with weekly OT,Record OT hours and tier in audit,Using wrong daily ordinary limit,Uncertain about daily ordinary limit under RTD,High for concept,Yes — verify daily ordinary limit in MA000038
RTD-ALW-01,RTD Vehicle Allowance,MA000038,Allowances,MA000038 allowances schedule — verify,Drivers entitled to vehicle allowance based on vehicle class,ALW002=Yes AND CLA006 populated,ALW002+CLA006,Lookup vehicle allowance from Allowances_Table by GVM class,Vehicle allowance amount per day,If GVM class not in table flag for review,Record allowance code and amount applied,Not applying vehicle allowance; applying wrong GVM class,Multiple vehicle types operated,High for concept — verify amounts,Yes — verify all vehicle allowance amounts from MA000038 and FWO pay guide
RTD-ALW-02,RTD Dangerous Goods Allowance,MA000038,Allowances,MA000038 allowances — verify,Additional allowance for handling dangerous goods,ALW003=Yes AND CLA007=Yes,ALW003+CLA007,Apply DG allowance from Allowances_Table,DG allowance amount,If DG licence not confirmed do not apply,Record DG licence confirmation,Claiming DG allowance without confirming DG licence and actual DG handling,Occasional DG handling vs regular,High for concept — verify amounts,Yes — verify DG allowance trigger and amount from MA000038
RTLDO-PAY-01,RTLDO Per-Km Rate,MA000039,Pay Model,MA000039 per-km provisions — verify,Long distance drivers paid a per-kilometre rate with minimum weekly floor,LDT001=Yes AND LDT002+LDT003 populated,LDT001+LDT002+LDT003,per_km_pay = LDT003 × lookup rate; compare to minimum weekly floor; apply MAX,Per-km earnings or minimum floor,If per-km rate not in Rates_Table flag for review,Record km total and rate category applied; note if minimum floor was triggered,Applying hourly rate model to RTLDO employee; not checking minimum floor,Very low km week where minimum floor applies,Moderate — concept well established; details require validation,Yes — verify per-km rates minimum weekly floor and all RTLDO rate details from MA000039
RTLDO-WT-01,RTLDO Waiting Time,MA000039,Allowances,MA000039 waiting time clause — verify,Payment for waiting time at destination beyond trigger threshold,LDT004 > waiting_time_trigger,LDT004+waiting_trigger+waiting_rate,Waiting time pay = (LDT004 minus trigger) × waiting_time_rate,Waiting time payment,If waiting time cause is force majeure check award treatment,Record waiting hours and trigger applied,Not paying waiting time; applying full rate for all waiting hours including below trigger,Force majeure events causing extended waits,Moderate,Yes — verify trigger hours and waiting time rate from MA000039
RTLDO-ACC-01,RTLDO Accommodation Allowance,MA000039,Allowances,MA000039 accommodation clause — verify,Overnight allowance payable when driver stays away from base and employer does not provide accommodation,LDT006=Yes AND employer_accommodation=No,LDT006+LDT007+employer_accommodation,nights_away × accommodation_rate,Accommodation allowance amount,If employer provides accommodation confirm allowance still applies or reduces,Record number of nights and accommodation arrangement,Not paying accommodation allowance; paying when employer provided accommodation,Employer provides shared or substandard accommodation — does allowance reduce?,Moderate,Yes — verify accommodation allowance amount and conditions from MA000039
RTLDO-HVNL-01,HVNL Fatigue Warning,MA000039,Safety Note,HVNL — separate legislation,Heavy vehicles must comply with HVNL fatigue management requirements separately from award,ActiveAward=MA000039,ActiveAward,Always display HVNL warning for RTLDO employees,Warning message displayed,N/A — outside tool scope,Record HVNL warning was displayed in audit output,Assuming award compliance equals HVNL compliance,Always triggers for RTLDO employees,High — this is a mandatory warning,No — HVNL is separately applicable legislation outside this tool's scope
