Rate_Code,Award,Classification_ID,Classification_Name,Rate_Type,Value,Unit,Casual_Adjustment,Effective_Date,Expiry_Date,Source_Document,Source_Page_or_Table,Validated_By,Validated_Date,Notes
RTLDO_C1_PKM,MA000039,LD-C1,RTLDO Class 1 Long Distance,Per_Km_Rate,[INSERT FROM FWO],Per_Km,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source per-km rate from current FWO RTLDO pay guide before go-live
RTLDO_C2_PKM,MA000039,LD-C2,RTLDO Class 2 Long Distance,Per_Km_Rate,[INSERT FROM FWO],Per_Km,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source per-km rate from current FWO RTLDO pay guide before go-live
RTLDO_C3_PKM,MA000039,LD-C3,RTLDO Class 3 Long Distance,Per_Km_Rate,[INSERT FROM FWO],Per_Km,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source per-km rate from current FWO RTLDO pay guide before go-live
RTLDO_C4_PKM,MA000039,LD-C4,RTLDO Class 4 Long Distance,Per_Km_Rate,[INSERT FROM FWO],Per_Km,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source per-km rate from current FWO RTLDO pay guide before go-live
RTLDO_C1_MIN,MA000039,LD-C1,RTLDO Class 1 Minimum Weekly,Minimum_Weekly_Rate,[INSERT FROM FWO],Per_Week,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],Minimum weekly floor — source from current FWO RTLDO pay guide; verify exists in award
RTLDO_C2_MIN,MA000039,LD-C2,RTLDO Class 2 Minimum Weekly,Minimum_Weekly_Rate,[INSERT FROM FWO],Per_Week,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],Minimum weekly floor — source from current FWO RTLDO pay guide; verify exists in award
RTLDO_C3_MIN,MA000039,LD-C3,RTLDO Class 3 Minimum Weekly,Minimum_Weekly_Rate,[INSERT FROM FWO],Per_Week,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],Minimum weekly floor — source from current FWO RTLDO pay guide; verify exists in award
RTLDO_C4_MIN,MA000039,LD-C4,RTLDO Class 4 Minimum Weekly,Minimum_Weekly_Rate,[INSERT FROM FWO],Per_Week,,01/07/2025,30/06/2026,FWO Pay Guide MA000039 July 2025,[Insert],,[INSERT DATE],Minimum weekly floor — source from current FWO RTLDO pay guide; verify exists in award
RTLDO_WT_RATE,MA000039,ALL,All RTLDO Classifications,Waiting_Time_Rate,[INSERT FROM FWO],Per_Hour,,01/07/2025,30/06/2026,MA000039 waiting time clause,[Insert],,[INSERT DATE],Waiting time rate — verify trigger and rate from award
MA000039_SAT,MA000039,ALL,All RTLDO Classifications,Penalty_Multiplier,[VALIDATE],Multiplier,,01/07/2025,30/06/2026,MA000039 Saturday clause,[Insert],,[INSERT DATE],RTLDO Saturday rate — verify how this interacts with per-km model
MA000039_SUN,MA000039,ALL,All RTLDO Classifications,Penalty_Multiplier,[VALIDATE],Multiplier,,01/07/2025,30/06/2026,MA000039 Sunday clause,[Insert],,[INSERT DATE],RTLDO Sunday rate — verify how this interacts with per-km model
MA000039_PH,MA000039,ALL,All RTLDO Classifications,Penalty_Multiplier,[VALIDATE],Multiplier,,01/07/2025,30/06/2026,MA000039 public holiday clause,[Insert],,[INSERT DATE],RTLDO public holiday rate — verify from award
