FieldID,FieldName,Category,Purpose,DataType,Mandatory,AllowedValues,ValidationRule,DependentFields,SampleEntry,UsedFor_Coverage,UsedFor_Classification,UsedFor_PayCalc,UsedFor_Audit,UsedFor_Escalation
RST002,Roster End Date,Roster Pattern,Period identification,Date,Mandatory,DD/MM/YYYY,Valid date after RST001,RST001,23/03/2026,N,N,Y,Y,N
RST003,Roster Days Worked,Roster Pattern,Working days,Multi-select,Mandatory,"Mon,Tue,Wed,Thu,Fri,Sat,Sun",At least one,,Mon/Tue/Wed/Thu/Fri,N,N,Y,Y,N
RST004,Regular Start Time,Roster Pattern,Span of hours check,Time,Mandatory,HH:MM 24hr,Valid time,,07:00,N,N,Y,Y,N
RST005,Regular Finish Time,Roster Pattern,Span of hours check,Time,Mandatory,HH:MM 24hr,Valid time after RST004,RST004,15:30,N,N,Y,Y,N
RST006,Averaging Arrangement,Roster Pattern,Overtime calculation basis,Boolean,Optional,"Yes,No",,,,N,N,Y,Y,Y
RST007,Averaging Period Weeks,Roster Pattern,Overtime averaging period,Numeric integer,Optional,1-52,Required if RST006=Yes,RST006,,,N,N,Y,Y,Y
SHF001,Shift Day,Shift Data,Day classification for penalty rates,Text,Mandatory,"Mon,Tue,Wed,Thu,Fri,Sat,Sun,PH",Calculated from SHF002,SHF002,Monday,N,N,Y,Y,N
SHF002,Shift Date,Shift Data,Specific date for PH check and audit,Date,Mandatory,DD/MM/YYYY,Valid date,,17/03/2026,N,N,Y,Y,N
SHF003,Shift Start Time,Shift Data,Penalty calculation start,Time,Mandatory,HH:MM 24hr,Valid time,,06:00,N,N,Y,Y,N
SHF004,Shift End Time,Shift Data,Penalty calculation end,Time,Mandatory,HH:MM 24hr,Valid time after SHF003,SHF003,14:00,N,N,Y,Y,N
SHF005,Unpaid Break Duration Minutes,Shift Data,Net hours calculation,Numeric integer,Mandatory,0-120,Non-negative,,30,N,N,Y,Y,N
SHF006,Paid Rest Break Duration Minutes,Shift Data,Break compliance check,Numeric integer,Mandatory,0-60,Non-negative,,10,N,N,Y,Y,N
SHF007,Total Hours Worked Gross,Shift Data,Calculation base,Numeric decimal,Calculated,,Auto-calculated from SHF003 and SHF004,,8.00,N,N,Y,Y,N
SHF008,Total Hours Worked Net,Shift Data,Actual payable hours,Numeric decimal,Calculated,,SHF007 minus SHF005/60,,7.50,N,N,Y,Y,N
SHF009,Shift Type,Shift Data,Shift loading determination,List,Mandatory,"Day,Afternoon,Night,Rotating",Select list only,,Day,N,N,Y,Y,N
SHF010,Public Holiday,Shift Data,PH rate trigger,Boolean,Calculated,"Yes,No",Cross-check PH_Table,EMP006+SHF002,No,N,N,Y,Y,N
LU001,Loading Unloading Performed,Loading/Unloading,Classification and allowance check,Boolean,Mandatory if RTD,"Yes,No",,,,N,Y,Y,Y,N
LU002,Loading Time Hours,Loading/Unloading,Time tracking,Numeric decimal,Optional,0-12,Non-negative,,1.5,N,N,Y,Y,N
LU003,Unloading Time Hours,Loading/Unloading,Time tracking,Numeric decimal,Optional,0-12,Non-negative,,1.0,N,N,Y,Y,N
LU004,Loading Type,Loading/Unloading,Equipment and conditions,List,Optional,"Manual,Forklift,Assisted,Tail-lift",,,,N,Y,N,Y,N
LU005,Dangerous Goods Loaded,Loading/Unloading,DG allowance trigger support,Boolean,Optional,"Yes,No",,,,N,N,Y,Y,N
LDT001,RTLDO Trip,Long Distance,Long distance coverage trigger,Boolean,Mandatory if RTLDO,"Yes,No",,,,Y,N,Y,Y,N
LDT002,Per-Km Rate Category,Long Distance,Rate selection,List,Mandatory if LDT001=Yes,From RTLDO rates table,Validate against classification,,Class 2,N,Y,Y,Y,N
LDT003,Total Km This Trip,Long Distance,Per-km earnings calculation,Numeric integer,Mandatory if LDT001=Yes,0-9999,Non-negative,,872,N,N,Y,Y,N
LDT004,Waiting Time at Destination Hours,Long Distance,Waiting time payment,Numeric decimal,Optional,0-48,Non-negative,,3.0,N,N,Y,Y,N
LDT005,Meal Allowance Triggered,Long Distance,Meal allowance payment,Boolean,Calculated,"Yes,No",Auto-based on hours away,LDT003+LDT007,Yes,N,N,Y,Y,N
LDT006,Accommodation Allowance Triggered,Long Distance,Accommodation payment,Boolean,Calculated,"Yes,No",Auto-based on overnight,LDT007,Yes,N,N,Y,Y,N
LDT007,Nights Away from Base,Long Distance,Accommodation and meal allowances,Numeric integer,Optional,0-30,Non-negative,,1,N,N,Y,Y,N
ALW001,Meal Allowance Applicable,Allowances,Meal allowance trigger,Boolean,Calculated,"Yes,No",Auto-based on hours and breaks,,No,N,N,Y,Y,N
ALW002,Vehicle Allowance Applicable,Allowances,Vehicle allowance trigger,Boolean,Mandatory if driver,"Yes,No",,CLA006,Yes,N,N,Y,Y,N
ALW003,Dangerous Goods Allowance,Allowances,DG allowance trigger,Boolean,Optional,"Yes,No",Requires CLA007=Yes or LU005=Yes,,Yes,N,N,Y,Y,N
ALW004,First Aid Allowance,Allowances,First aid allowance trigger,Boolean,Optional,"Yes,No",Requires CLA008=Yes,,No,N,N,Y,Y,N
ALW005,Leading Hand Allowance,Allowances,Leading hand allowance trigger,Boolean,Optional,"Yes,No",Requires CLA009=Yes,,No,N,N,Y,Y,N
EXC001,EA Possible,Exception Flags,EA escalation trigger,Boolean,Mandatory,"Yes,No,Unknown",,,,N,N,N,Y,Y
EXC002,Long Service Consideration,Exception Flags,Tenure flag,Boolean,Optional,"Yes,No",,,,N,N,N,Y,Y
EXC003,Junior Employee,Exception Flags,Junior rate trigger,Boolean,Calculated,"Yes,No",Auto from EMP005,EMP005,,N,N,Y,Y,N
EXC004,Trainee or Apprentice,Exception Flags,Training wage flag,Boolean,Mandatory,"Yes,No",,,,N,N,N,Y,Y
EXC005,Disputed Classification,Exception Flags,Classification escalation,Boolean,Mandatory,"Yes,No",,,,N,Y,N,Y,Y
EXC006,Dispute or Complaint Active,Exception Flags,Dispute flag,Boolean,Mandatory,"Yes,No",,,,N,N,N,Y,Y
EXC007,Prior Underpayment Risk,Exception Flags,Underpayment history flag,Boolean,Mandatory,"Yes,No",,,,N,N,N,Y,Y
EXC008,Non-Standard Roster,Exception Flags,Roster complexity flag,Boolean,Mandatory,"Yes,No",,,,N,N,Y,Y,Y
